datetime,tempmax,tempmin,temp_avg,humidity,rainfall,wind_speed,pressure,cloudcover,dew,year,month,day,day_of_the_year,week_of_the_year,day_of_week,Season,rainfall_7day_avg,temp_avg_7day,humidity_7day_avg,rainfall_cumsum_30day,rainfall_lag_1,rainfall_lag_7,temp_avg_lag_1,temp_range,gdd_base10,gdd_cumsum,is_rainy_day,is_heavy_rain,is_hot_day,humidity_high,humidity_very_high,cloud_cover_high,humid_and_cloudy,rain_likely,has_rain,has_partly_cloudy,has_overcast,has_clear
2014-01-08,33.8,22.3,27.2,77.1,0.1,10.8,1009.7,49.5,22.1,2014,1,8,8,2,2,dry_season,0.2714285714285714,26.571428571428573,78.5,3.9,0.0,2.0,26.3,11.499999999999996,18.049999999999997,138.70000000000002,0,0,1,1,0,0,0,0,1,1,0,0
2014-01-09,33.3,24.0,27.8,77.2,0.5,10.8,1009.8,53.8,22.7,2014,1,9,9,2,3,dry_season,0.34285714285714286,26.771428571428572,78.05714285714285,4.3999999999999995,0.1,0.0,27.2,9.299999999999997,18.65,157.35000000000002,0,0,1,1,0,0,0,0,1,1,0,0
2014-01-10,33.8,23.6,27.7,76.3,0.1,11.2,1010.5,54.2,22.4,2014,1,10,10,2,4,dry_season,0.35714285714285715,26.957142857142856,77.75714285714287,4.5,0.5,0.0,27.8,10.199999999999996,18.7,176.05,0,0,1,1,0,0,0,0,1,1,0,0
2014-01-11,34.6,23.7,27.9,75.1,0.0,11.2,1011.0,52.1,21.9,2014,1,11,11,2,5,dry_season,0.35714285714285715,27.11428571428571,77.34285714285714,4.5,0.1,0.0,27.7,10.900000000000002,19.15,195.20000000000002,0,0,1,1,0,0,0,0,0,1,0,0
2014-01-12,33.0,24.3,27.8,77.4,0.9,10.8,1012.1,67.2,22.9,2014,1,12,12,2,6,dry_season,0.39999999999999997,27.271428571428572,77.10000000000001,5.3999999999999995,0.0,0.6,27.9,8.7,18.65,213.85000000000002,0,0,0,1,0,0,0,0,1,1,0,0
2014-01-13,34.2,23.6,27.5,75.4,0.0,10.4,1011.9,62.0,21.8,2014,1,13,13,3,0,dry_season,0.2285714285714286,27.457142857142856,76.24285714285715,5.3999999999999995,0.9,1.2,27.8,10.600000000000001,18.900000000000002,232.75000000000003,0,0,1,1,0,0,0,0,0,1,0,0
2014-01-14,34.1,22.8,28.0,74.5,0.0,10.8,1010.8,75.1,22.3,2014,1,14,14,3,1,dry_season,0.2285714285714286,27.7,76.14285714285714,5.3999999999999995,0.0,0.0,27.5,11.3,18.450000000000003,251.20000000000005,0,0,1,1,0,1,1,0,0,1,0,0
2014-01-15,33.7,23.4,27.7,79.9,0.7,7.6,1011.0,38.3,23.6,2014,1,15,15,3,2,dry_season,0.3142857142857142,27.77142857142857,76.54285714285716,6.1,0.0,0.1,28.0,10.300000000000004,18.55,269.75000000000006,0,0,1,1,0,0,0,0,1,1,0,0
2014-01-16,32.4,23.6,27.7,82.6,3.6,9.7,1011.5,62.6,24.2,2014,1,16,16,3,3,dry_season,0.7571428571428571,27.75714285714286,77.3142857142857,9.7,0.7,0.5,27.7,8.799999999999997,18.0,287.75000000000006,1,0,0,1,0,0,0,0,1,1,0,0
2014-01-17,32.1,24.5,27.7,84.5,1.9,9.4,1011.6,96.0,24.6,2014,1,17,17,3,4,dry_season,1.0142857142857142,27.75714285714286,78.48571428571428,11.6,3.6,0.1,27.7,7.600000000000001,18.3,306.05000000000007,1,0,0,1,0,1,1,0,1,0,1,0
