datetime,tempmax,tempmin,temp_avg,humidity,rainfall,wind_speed,pressure,cloudcover,dew,conditions
2014-01-01,32.5,22.6,26.8,82.7,2.0,7.9,1010.3,72.7,23.3,"Rain, Partially cloudy"
2014-01-02,32.5,22.1,26.4,80.3,0.0,8.3,1009.5,50.2,22.2,Partially cloudy
2014-01-03,32.6,21.9,26.4,78.4,0.0,9.0,1009.8,99.6,21.5,Overcast
2014-01-04,32.7,22.4,26.8,78.0,0.0,10.1,1010.4,61.3,22.0,Partially cloudy
2014-01-05,32.0,21.8,26.7,79.1,0.6,10.1,1010.1,50.1,22.2,"Rain, Partially cloudy"
2014-01-06,32.0,21.8,26.2,81.4,1.2,8.3,1009.6,63.9,22.3,"Rain, Partially cloudy"
2014-01-07,33.9,20.5,26.3,75.2,0.0,9.7,1009.6,33.8,20.6,Partially cloudy
2014-01-08,33.8,22.3,27.2,77.1,0.1,10.8,1009.7,49.5,22.1,"Rain, Partially cloudy"
2014-01-09,33.3,24.0,27.8,77.2,0.5,10.8,1009.8,53.8,22.7,"Rain, Partially cloudy"
2014-01-10,33.8,23.6,27.7,76.3,0.1,11.2,1010.5,54.2,22.4,"Rain, Partially cloudy"
2014-01-11,34.6,23.7,27.9,75.1,0.0,11.2,1011.0,52.1,21.9,Partially cloudy
2014-01-12,33.0,24.3,27.8,77.4,0.9,10.8,1012.1,67.2,22.9,"Rain, Partially cloudy"
2014-01-13,34.2,23.6,27.5,75.4,0.0,10.4,1011.9,62.0,21.8,Partially cloudy
2014-01-14,34.1,22.8,28.0,74.5,0.0,10.8,1010.8,75.1,22.3,Partially cloudy
2014-01-15,33.7,23.4,27.7,79.9,0.7,7.6,1011.0,38.3,23.6,"Rain, Partially cloudy"
2014-01-16,32.4,23.6,27.7,82.6,3.6,9.7,1011.5,62.6,24.2,"Rain, Partially cloudy"
2014-01-17,32.1,24.5,27.7,84.5,1.9,9.4,1011.6,96.0,24.6,"Rain, Overcast"
2014-01-18,33.4,24.0,27.8,80.8,6.0,13.7,1011.6,80.5,23.9,"Rain, Partially cloudy"
2014-01-19,34.4,24.2,28.2,78.4,0.3,13.7,1011.5,80.4,23.5,"Rain, Partially cloudy"
2014-01-20,34.5,24.5,28.6,79.4,0.9,15.3,1011.2,79.7,24.2,"Rain, Partially cloudy"
2014-01-21,34.0,23.8,28.3,80.9,2.3,16.6,1010.0,67.0,24.3,"Rain, Partially cloudy"
2014-01-22,35.1,24.4,28.2,80.2,1.2,18.4,1009.6,56.0,24.1,"Rain, Partially cloudy"
2014-01-23,36.0,22.0,27.9,78.0,3.8,18.4,1009.4,53.3,23.1,"Rain, Partially cloudy"
2014-01-24,34.8,22.0,27.7,80.4,2.2,22.9,1008.7,54.2,23.7,"Rain, Partially cloudy"
2014-01-25,33.2,24.1,27.6,82.1,0.8,18.4,1009.0,72.5,24.0,"Rain, Partially cloudy"
2014-01-26,34.5,22.0,27.9,78.8,1.1,18.4,1010.0,58.1,23.0,"Rain, Partially cloudy"
2014-01-27,34.0,24.1,27.6,82.7,3.4,13.5,1009.5,76.7,24.1,"Rain, Partially cloudy"
2014-01-28,35.0,22.9,27.1,83.8,1.7,20.5,1008.1,78.7,23.8,"Rain, Partially cloudy"
2014-01-29,35.1,22.0,26.3,85.1,4.3,33.5,1008.6,79.2,23.3,"Rain, Partially cloudy"
2014-01-30,32.5,23.0,27.3,83.5,1.6,14.3,1009.0,88.9,24.1,"Rain, Partially cloudy"
2014-01-31,31.0,23.7,26.8,86.1,4.3,19.2,1010.1,90.1,24.2,"Rain, Overcast"
2014-02-01,32.0,24.0,27.0,87.5,17.9,15.3,1010.2,90.1,24.6,"Rain, Overcast"
2014-02-02,30.0,24.0,26.4,86.0,2.3,18.4,1009.3,83.1,23.7,"Rain, Partially cloudy"
2014-02-03,34.0,22.0,27.3,78.4,6.5,35.3,1009.0,86.1,22.3,"Rain, Partially cloudy"
2014-02-04,34.0,23.3,27.8,79.5,4.8,18.4,1009.0,69.7,23.5,"Rain, Partially cloudy"
2014-02-05,34.0,22.5,28.0,75.9,0.2,10.8,1008.9,69.0,22.5,"Rain, Partially cloudy"
2014-02-06,36.1,23.6,28.4,75.7,0.0,16.6,1008.9,58.2,22.8,Partially cloudy
2014-02-07,35.0,23.0,28.2,79.9,2.5,16.6,1010.3,63.6,23.9,"Rain, Partially cloudy"
2014-02-08,34.0,23.6,27.8,80.4,0.9,9.7,1010.3,69.6,23.7,"Rain, Partially cloudy"
2014-02-09,36.0,23.0,28.4,79.3,1.8,14.8,1009.7,68.3,24.0,"Rain, Partially cloudy"
2014-02-10,34.5,23.3,28.0,78.1,0.9,13.0,1010.1,71.9,23.4,"Rain, Partially cloudy"
2014-02-11,36.0,24.4,28.8,75.9,0.2,11.9,1010.0,82.0,23.4,"Rain, Partially cloudy"
2014-02-12,37.0,24.0,28.9,74.3,1.5,22.3,1009.4,73.9,23.0,"Rain, Partially cloudy"
2014-02-13,35.0,23.7,28.6,78.2,0.2,18.4,1008.7,69.6,23.8,"Rain, Partially cloudy"
2014-02-14,34.1,23.0,28.0,77.9,0.4,11.2,1009.5,68.2,23.1,"Rain, Partially cloudy"
2014-02-15,35.2,24.3,28.5,73.2,0.1,10.8,1009.9,82.7,22.1,"Rain, Partially cloudy"
2014-02-16,34.6,24.0,28.1,71.7,0.0,9.4,1009.8,81.2,21.6,Partially cloudy
2014-02-17,35.1,20.0,27.6,75.1,0.0,12.6,1009.0,62.6,21.9,Partially cloudy
2014-02-18,34.8,25.0,28.7,75.6,0.1,11.9,1009.8,68.9,23.2,"Rain, Partially cloudy"
2014-02-19,34.0,23.9,28.4,79.0,1.3,9.7,1010.7,61.4,24.1,"Rain, Partially cloudy"
2014-02-20,33.4,23.0,27.3,82.1,1.7,11.2,1010.0,40.9,23.7,"Rain, Partially cloudy"
2014-02-21,33.8,24.0,27.9,82.1,1.0,13.0,1008.6,51.9,24.2,"Rain, Partially cloudy"
2014-02-22,34.0,24.0,28.3,82.8,1.7,10.1,1008.3,85.7,24.8,"Rain, Partially cloudy"
2014-02-23,33.8,24.9,28.1,84.8,2.6,21.4,1008.3,89.4,25.1,"Rain, Partially cloudy"
2014-02-24,35.0,23.0,28.5,80.3,6.1,16.6,1008.0,71.7,24.4,"Rain, Partially cloudy"
2014-02-25,31.8,25.0,27.8,84.5,3.7,16.6,1008.2,85.6,24.8,"Rain, Partially cloudy"
2014-02-26,33.3,24.6,28.1,80.7,2.1,22.3,1008.9,85.8,24.2,"Rain, Partially cloudy"
2014-02-27,33.0,23.9,27.1,84.8,1.9,24.1,1009.4,86.9,24.1,"Rain, Partially cloudy"
2014-02-28,31.0,24.0,26.5,86.9,9.6,11.9,1010.1,86.1,24.0,"Rain, Partially cloudy"
2014-03-01,34.0,23.8,26.5,88.0,10.4,29.3,1009.8,89.1,24.1,"Rain, Partially cloudy"
2014-03-02,29.2,23.5,25.8,87.7,4.1,13.0,1009.9,79.8,23.6,"Rain, Partially cloudy"
2014-03-03,31.8,24.0,27.0,85.2,1.0,25.9,1009.7,69.8,24.2,"Rain, Partially cloudy"
2014-03-04,35.1,22.9,27.1,84.1,25.3,13.0,1009.4,70.5,23.5,"Rain, Partially cloudy"
2014-03-05,34.1,22.9,26.8,86.2,6.1,27.7,1009.4,75.3,24.1,"Rain, Partially cloudy"
2014-03-06,32.0,24.0,26.8,87.3,10.8,28.2,1009.6,80.0,24.4,"Rain, Partially cloudy"
2014-03-07,33.0,22.0,26.6,86.8,7.9,16.6,1008.8,65.2,24.0,"Rain, Partially cloudy"
2014-03-08,31.9,24.0,26.8,86.4,6.1,11.5,1009.5,87.5,24.2,"Rain, Partially cloudy"
2014-03-09,32.8,24.4,27.2,85.8,15.1,23.8,1009.5,86.4,24.5,"Rain, Partially cloudy"
2014-03-10,30.6,22.0,25.5,89.0,15.8,16.6,1010.7,87.9,23.4,"Rain, Partially cloudy"
2014-03-11,32.0,23.0,26.8,84.9,8.1,18.4,1011.4,68.9,23.8,"Rain, Partially cloudy"
2014-03-12,34.0,22.8,27.9,80.8,0.7,14.8,1011.3,58.7,23.9,"Rain, Partially cloudy"
2014-03-13,34.8,23.0,28.2,80.2,0.7,18.4,1010.4,54.9,24.0,"Rain, Partially cloudy"
2014-03-14,35.0,24.0,28.6,82.3,2.8,22.1,1010.0,59.9,24.9,"Rain, Partially cloudy"
2014-03-15,34.0,25.0,27.8,84.5,3.8,22.3,1009.3,73.6,24.8,"Rain, Partially cloudy"
2014-03-16,28.5,23.0,25.7,91.1,20.8,7.9,1008.7,92.0,24.1,"Rain, Overcast"
2014-03-17,32.0,23.0,27.5,84.5,4.1,14.8,1009.3,75.0,24.4,"Rain, Partially cloudy"
2014-03-18,30.0,24.6,27.0,87.8,1.7,16.9,1010.1,89.1,24.7,"Rain, Partially cloudy"
2014-03-19,34.0,23.0,28.0,82.2,0.8,18.8,1010.1,84.1,24.3,"Rain, Partially cloudy"
2014-03-20,35.0,23.0,28.0,82.9,2.1,13.0,1010.1,82.8,24.5,"Rain, Partially cloudy"
2014-03-21,33.3,24.5,28.4,82.3,8.9,18.4,1009.5,78.5,24.8,"Rain, Partially cloudy"
2014-03-22,31.1,23.4,26.4,87.8,5.5,11.2,1009.0,96.2,24.1,"Rain, Overcast"
2014-03-23,32.1,24.4,27.4,85.8,8.9,18.4,1009.1,86.0,24.6,"Rain, Partially cloudy"
2014-03-24,33.0,23.7,27.4,83.5,2.9,18.4,1010.3,88.9,24.1,"Rain, Partially cloudy"
2014-03-25,30.0,20.9,26.0,87.6,2.0,11.2,1010.2,95.5,23.6,"Rain, Overcast"
2014-03-26,33.0,24.1,27.5,85.8,11.5,14.8,1010.1,84.2,24.7,"Rain, Partially cloudy"
2014-03-27,30.0,23.1,25.7,92.4,8.4,11.5,1010.0,88.8,24.3,"Rain, Partially cloudy"
2014-03-28,33.0,22.0,26.5,86.3,4.3,13.0,1010.2,92.8,23.7,"Rain, Overcast"
2014-03-29,28.4,23.5,25.5,92.9,13.7,9.0,1011.3,97.1,24.2,"Rain, Overcast"
2014-03-30,31.5,23.3,26.4,88.2,6.8,10.4,1010.7,78.7,24.1,"Rain, Partially cloudy"
2014-03-31,30.9,23.4,26.6,86.4,1.1,8.3,1010.5,99.7,24.0,"Rain, Overcast"
2014-04-01,34.0,23.4,27.4,86.0,18.1,20.5,1010.3,92.4,24.6,"Rain, Overcast"
2014-04-02,31.1,23.2,26.7,89.4,18.1,17.1,1010.2,93.2,24.7,"Rain, Overcast"
2014-04-03,31.3,23.5,26.3,87.5,4.0,11.2,1010.4,86.9,23.9,"Rain, Partially cloudy"
2014-04-04,32.9,24.5,27.7,85.5,2.1,14.8,1010.8,41.3,24.9,"Rain, Partially cloudy"
2014-04-05,31.0,24.0,26.6,86.2,5.3,9.7,1011.1,80.9,24.0,"Rain, Partially cloudy"
2014-04-06,31.9,23.9,27.0,86.4,4.2,8.3,1011.0,72.8,24.4,"Rain, Partially cloudy"
2014-04-07,31.2,23.6,26.5,88.5,7.0,10.4,1011.2,84.9,24.3,"Rain, Partially cloudy"
2014-04-08,28.0,23.5,24.9,95.0,21.9,7.6,1011.8,91.5,24.1,"Rain, Overcast"
2014-04-09,31.8,22.0,26.2,88.4,6.1,12.6,1011.3,83.1,24.0,"Rain, Partially cloudy"
2014-04-10,32.0,20.9,25.9,88.7,20.6,18.4,1010.3,81.0,23.6,"Rain, Partially cloudy"
2014-04-11,33.0,22.8,26.8,88.3,7.9,14.8,1010.6,87.8,24.5,"Rain, Partially cloudy"
